customer_id,segment,state,preferred_category,preferred_channel,preferred_payment,registration_date,age_group,n_orders,last_purchase_date,churned
CUS00001,loyal,Imo,Beauty & Personal Care,Web,Card,2023-04-12,18-24,16,2023-12-27,1
CUS00002,loyal,Lagos,Home & Kitchen,Mobile App,Pay on Delivery,2023-02-18,18-24,17,2024-03-09,0
CUS00003,loyal,Kano,Food & Groceries,Mobile App,Bank Transfer,2023-04-21,55+,8,2023-11-24,1
CUS00004,lost,Kano,Sports & Outdoors,Web,Bank Transfer,2022-10-01,55+,2,2022-01-14,1
CUS00005,hibernating,Abuja,Electronics,Web,Bank Transfer,2023-03-31,35-44,3,2022-10-05,1
CUS00006,lost,Lagos,Home & Kitchen,Mobile App,Bank Transfer,2022-04-16,25-34,1,2022-07-10,1
CUS00007,hibernating,Abuja,Fashion,Social Commerce,Pay on Delivery,2022-09-28,18-24,3,2023-05-10,1
CUS00008,champion,Abuja,Fashion,Mobile App,Pay on Delivery,2022-08-05,25-34,24,2024-03-12,0
CUS00009,loyal,Lagos,Electronics,Mobile App,Bank Transfer,2023-04-17,18-24,8,2023-12-20,1
CUS00010,hibernating,Anambra,Home & Kitchen,Social Commerce,Bank Transfer,2022-01-28,45-54,2,2022-10-03,1
CUS00011,champion,Abuja,Fashion,Web,Bank Transfer,2023-04-07,45-54,16,2024-06-21,0
CUS00012,at_risk,Kano,Food & Groceries,Mobile App,Card,2022-08-29,25-34,6,2024-01-08,0
CUS00013,champion,Rivers,Food & Groceries,Mobile App,Wallet,2022-08-31,18-24,13,2024-03-16,0
CUS00014,loyal,Lagos,Food & Groceries,Mobile App,Bank Transfer,2022-11-27,25-34,12,2024-05-18,0
CUS00015,lost,Lagos,Home & Kitchen,Mobile App,Card,2022-09-16,18-24,2,2022-05-17,1
CUS00016,at_risk,Oyo,Fashion,Mobile App,Card,2023-04-17,35-44,3,2023-07-22,1
CUS00017,loyal,Oyo,Beauty & Personal Care,Mobile App,Wallet,2022-04-23,55+,17,2023-11-23,1
CUS00018,champion,Abuja,Home & Kitchen,Web,Bank Transfer,2023-02-20,35-44,34,2024-06-02,0
CUS00019,loyal,Anambra,Food & Groceries,Social Commerce,Bank Transfer,2023-05-26,18-24,6,2024-04-18,0
CUS00020,loyal,Lagos,Electronics,Web,Pay on Delivery,2023-02-07,35-44,8,2024-02-25,0
CUS00021,at_risk,Lagos,Home & Kitchen,Mobile App,Wallet,2023-04-18,18-24,9,2023-09-07,1
CUS00022,loyal,Lagos,Baby & Kids,Mobile App,Card,2022-10-31,55+,10,2023-11-06,1
CUS00023,lost,Lagos,Fashion,Web,Pay on Delivery,2023-02-08,45-54,2,2022-06-10,1
CUS00024,at_risk,Lagos,Electronics,Social Commerce,Bank Transfer,2022-08-15,25-34,3,2023-09-07,1
CUS00025,lost,Lagos,Fashion,Mobile App,Bank Transfer,2022-06-10,18-24,2,2022-10-04,1
CUS00026,loyal,Abuja,Beauty & Personal Care,Web,Card,2023-04-05,25-34,11,2023-10-22,1
CUS00027,loyal,Imo,Fashion,Social Commerce,Bank Transfer,2022-08-14,25-34,6,2024-02-24,0
CUS00028,at_risk,Delta,Electronics,Social Commerce,Bank Transfer,2022-02-15,45-54,5,2024-01-19,0
CUS00029,lost,Abuja,Food & Groceries,Web,Wallet,2022-04-26,25-34,1,2022-06-10,1
CUS00030,loyal,Lagos,Food & Groceries,Social Commerce,Pay on Delivery,2022-10-15,35-44,12,2024-02-04,0
CUS00031,at_risk,Kaduna,Beauty & Personal Care,Web,Pay on Delivery,2022-06-25,25-34,4,2024-02-02,0
CUS00032,at_risk,Lagos,Home & Kitchen,Mobile App,Card,2022-02-05,35-44,3,2024-02-19,0
CUS00033,hibernating,Anambra,Sports & Outdoors,Mobile App,Card,2022-02-20,25-34,3,2023-03-09,1
CUS00034,loyal,Rivers,Electronics,Mobile App,Pay on Delivery,2022-02-23,25-34,10,2024-06-20,0
CUS00035,hibernating,Lagos,Home & Kitchen,Mobile App,Card,2022-12-16,25-34,3,2023-01-22,1
CUS00036,lost,Kano,Fashion,Web,Card,2022-02-27,18-24,1,2022-04-27,1
CUS00037,champion,Abuja,Home & Kitchen,Mobile App,Wallet,2022-04-06,25-34,27,2024-04-29,0
CUS00038,hibernating,Lagos,Baby & Kids,Web,Bank Transfer,2022-09-04,18-24,2,2023-01-22,1
CUS00039,loyal,Lagos,Fashion,Mobile App,Card,2022-04-04,45-54,9,2024-04-21,0
CUS00040,champion,Delta,Beauty & Personal Care,Mobile App,Bank Transfer,2022-12-23,25-34,21,2024-04-09,0
CUS00041,lost,Lagos,Electronics,Social Commerce,Bank Transfer,2022-11-21,35-44,2,2022-10-07,1
CUS00042,lost,Enugu,Sports & Outdoors,Web,Pay on Delivery,2023-01-15,18-24,1,2022-06-28,1
CUS00043,hibernating,Rivers,Sports & Outdoors,Web,Card,2022-10-12,18-24,3,2023-05-11,1
CUS00044,champion,Oyo,Electronics,Mobile App,Pay on Delivery,2023-02-22,25-34,18,2024-03-29,0
CUS00045,hibernating,Rivers,Sports & Outdoors,Web,Pay on Delivery,2023-01-29,25-34,3,2023-02-24,1
CUS00046,hibernating,Lagos,Fashion,Web,Pay on Delivery,2022-02-06,25-34,3,2022-09-13,1
CUS00047,hibernating,Lagos,Fashion,Mobile App,Bank Transfer,2022-12-08,25-34,3,2023-02-24,1
CUS00048,champion,Imo,Sports & Outdoors,Mobile App,Wallet,2023-01-19,25-34,26,2024-06-23,0
CUS00049,at_risk,Lagos,Fashion,Web,Pay on Delivery,2022-05-31,35-44,9,2023-09-17,1
CUS00050,lost,Imo,Baby & Kids,Mobile App,Pay on Delivery,2022-08-23,35-44,1,2022-03-17,1
CUS00051,hibernating,Anambra,Sports & Outdoors,Web,Bank Transfer,2022-06-17,18-24,2,2022-12-31,1
CUS00052,champion,Kano,Fashion,Web,Pay on Delivery,2022-12-08,35-44,18,2024-03-16,0
CUS00053,hibernating,Abuja,Electronics,Web,Bank Transfer,2022-04-01,25-34,3,2022-10-09,1
CUS00054,at_risk,Lagos,Fashion,Web,Pay on Delivery,2023-04-01,18-24,3,2023-06-01,1
CUS00055,hibernating,Lagos,Fashion,Mobile App,Card,2022-04-27,55+,1,2023-02-07,1
CUS00056,at_risk,Abuja,Electronics,Social Commerce,Wallet,2022-08-15,35-44,3,2023-07-17,1
CUS00057,at_risk,Oyo,Food & Groceries,Web,Bank Transfer,2023-04-16,18-24,6,2024-01-10,0
CUS00058,champion,Abuja,Electronics,Mobile App,Card,2022-03-31,25-34,29,2024-02-28,0
CUS00059,champion,Imo,Baby & Kids,Web,Bank Transfer,2023-04-06,35-44,24,2024-03-17,0
CUS00060,champion,Enugu,Fashion,Web,Wallet,2022-01-10,45-54,29,2024-05-19,0
CUS00061,loyal,Abuja,Beauty & Personal Care,Mobile App,Wallet,2022-10-09,25-34,11,2024-03-25,0
CUS00062,hibernating,Kano,Fashion,Mobile App,Card,2023-06-02,35-44,1,2023-01-11,1
CUS00063,lost,Rivers,Beauty & Personal Care,Social Commerce,Pay on Delivery,2022-05-25,25-34,1,2022-01-01,1
CUS00064,lost,Rivers,Fashion,Web,Bank Transfer,2022-12-14,25-34,1,2022-06-03,1
CUS00065,at_risk,Kano,Sports & Outdoors,Mobile App,Pay on Delivery,2022-08-24,25-34,8,2024-02-06,0
CUS00066,at_risk,Lagos,Electronics,Web,Bank Transfer,2022-03-16,18-24,8,2023-12-09,1
CUS00067,champion,Abuja,Home & Kitchen,Mobile App,Bank Transfer,2023-03-23,35-44,17,2024-04-19,0
CUS00068,loyal,Rivers,Sports & Outdoors,Social Commerce,Card,2022-07-03,45-54,6,2023-12-08,1
CUS00069,lost,Kano,Fashion,Web,Card,2022-04-21,18-24,1,2022-12-02,1
CUS00070,loyal,Lagos,Home & Kitchen,Mobile App,Card,2022-07-14,45-54,16,2024-01-01,0
CUS00071,lost,Rivers,Fashion,Web,Card,2023-06-18,18-24,1,2022-05-13,1
CUS00072,at_risk,Lagos,Fashion,Mobile App,Pay on Delivery,2022-03-14,18-24,9,2023-09-29,1
CUS00073,hibernating,Kano,Electronics,Mobile App,Card,2022-09-14,18-24,3,2023-05-11,1
CUS00074,lost,Kano,Books & Media,Mobile App,Pay on Delivery,2022-03-19,25-34,1,2022-06-03,1
CUS00075,champion,Lagos,Beauty & Personal Care,Social Commerce,Bank Transfer,2023-05-23,18-24,17,2024-05-25,0
CUS00076,loyal,Lagos,Fashion,Mobile App,Card,2022-08-19,18-24,17,2023-10-25,1
CUS00077,lost,Rivers,Home & Kitchen,Web,Bank Transfer,2022-04-21,35-44,2,2022-02-03,1
CUS00078,at_risk,Rivers,Food & Groceries,Mobile App,Card,2022-10-09,35-44,5,2024-01-15,0
CUS00079,lost,Lagos,Fashion,Mobile App,Bank Transfer,2022-12-16,18-24,2,2022-12-16,1
CUS00080,loyal,Kaduna,Electronics,Mobile App,Bank Transfer,2022-08-11,45-54,9,2024-05-07,0
