customer_id,last_order_date,frequency,monetary,avg_order_value,total_refunds,refund_count,avg_review_score,avg_delivery_days,distinct_categories,total_discounts,recency_days,refund_rate,R_score,F_score,M_score,RFM_score,churned,segment,state,age_group,registration_date
CUS00001,2023-12-01,16,265345.0,16584.06,20759.29,1,3.8125,2.625,6,20955.0,212,0.062,4,5,4,13,1,loyal,Imo,18-24,2023-04-12
CUS00002,2024-02-07,17,417220.0,24542.35,8852.55,1,3.823529411764706,4.411764705882353,6,30780.0,144,0.059,4,5,5,14,0,loyal,Lagos,18-24,2023-02-18
CUS00003,2023-11-18,8,217995.0,27249.38,66592.44,2,3.5,2.5,4,5605.0,225,0.25,4,3,4,11,1,loyal,Kano,55+,2023-04-21
CUS00004,2022-10-16,2,26990.0,13495.0,0.0,0,3.5,3.5,2,3910.0,623,0.0,1,1,1,3,1,lost,Kano,55+,2022-10-01
CUS00005,2023-04-13,3,201300.0,67100.0,0.0,0,3.3333333333333335,3.3333333333333335,2,0.0,444,0.0,2,2,3,7,1,hibernating,Abuja,35-44,2023-03-31
CUS00006,2022-07-02,1,8700.0,8700.0,0.0,0,4.0,2.0,1,0.0,729,0.0,1,1,1,3,1,lost,Lagos,25-34,2022-04-16
CUS00007,2023-03-04,3,43820.0,14606.67,15850.84,1,3.3333333333333335,3.3333333333333335,3,2780.0,484,0.333,2,2,2,6,1,hibernating,Abuja,18-24,2022-09-28
CUS00008,2024-02-14,24,545500.0,22729.17,0.0,0,3.7916666666666665,3.9583333333333335,8,38000.0,137,0.0,5,5,5,15,0,champion,Abuja,25-34,2022-08-05
CUS00009,2023-12-14,8,396960.0,49620.0,29399.32,2,3.125,2.75,5,18940.0,199,0.25,4,3,4,11,1,loyal,Lagos,18-24,2023-04-17
CUS00010,2022-09-02,2,29660.0,14830.0,0.0,0,4.0,1.0,2,2440.0,667,0.0,1,1,1,3,1,hibernating,Anambra,45-54,2022-01-28
CUS00011,2024-04-24,16,247000.0,15437.5,8520.1,1,4.1875,2.6875,5,3500.0,67,0.062,5,5,4,14,0,champion,Abuja,45-54,2023-04-07
CUS00012,2023-08-04,6,180730.0,30121.67,0.0,0,3.5,3.3333333333333335,2,1370.0,331,0.0,3,3,3,9,0,at_risk,Kano,25-34,2022-08-29
CUS00013,2024-02-25,13,229840.0,17680.0,57630.600000000006,3,3.6153846153846154,2.230769230769231,5,28860.0,126,0.231,5,4,4,13,0,champion,Rivers,18-24,2022-08-31
CUS00014,2024-04-09,12,241185.0,20098.75,30093.960000000003,2,2.8333333333333335,2.0833333333333335,5,19115.0,82,0.167,5,4,4,13,0,loyal,Lagos,25-34,2022-11-27
CUS00015,2022-10-13,2,56300.0,28150.0,34187.28,1,3.5,2.5,2,0.0,626,0.5,1,1,2,4,1,lost,Lagos,18-24,2022-09-16
CUS00016,2023-06-13,3,49135.0,16378.33,0.0,0,3.0,2.3333333333333335,2,6765.0,383,0.0,2,2,2,6,1,at_risk,Oyo,35-44,2023-04-17
CUS00017,2023-10-28,17,249950.0,14702.94,13425.81,1,3.823529411764706,2.5294117647058822,5,20850.0,246,0.059,4,5,4,13,1,loyal,Oyo,55+,2022-04-23
CUS00018,2024-05-22,34,995625.0,29283.09,73561.23,4,3.911764705882353,2.235294117647059,8,53675.0,39,0.118,5,5,5,15,0,champion,Abuja,35-44,2023-02-20
CUS00019,2024-02-15,6,53250.0,8875.0,10143.59,1,3.6666666666666665,2.8333333333333335,4,450.0,136,0.167,5,3,2,10,0,loyal,Anambra,18-24,2023-05-26
CUS00020,2023-12-26,8,690080.0,86260.0,41401.05,1,3.375,4.875,2,26320.0,187,0.125,4,3,5,12,0,loyal,Lagos,35-44,2023-02-07
CUS00021,2023-08-26,9,147640.0,16404.44,12705.8,3,3.2222222222222223,2.2222222222222223,5,11660.0,309,0.333,3,4,3,10,1,at_risk,Lagos,18-24,2023-04-18
CUS00022,2023-10-27,10,249410.0,24941.0,21507.09,3,3.4,2.8,5,7990.0,247,0.3,4,4,4,12,1,loyal,Lagos,55+,2022-10-31
CUS00023,2023-03-05,2,12920.0,6460.0,0.0,0,4.0,3.5,2,1680.0,483,0.0,2,1,1,4,1,lost,Lagos,45-54,2023-02-08
