n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,class_weight,bootstrap,mean_test_score,std_test_score,mean_train_score,rank_test_score
200,20,10,0.5,,balanced_subsample,True,0.9817787281584772,0.003495213559316613,0.9943232722936035,1
300,2,1,0.5,5,balanced,False,0.9817325891972694,0.0031182921697875594,0.9912169525118554,2
200,5,2,0.5,5,balanced_subsample,True,0.9817218410551891,0.003134296151468213,0.9907648921365466,3
200,20,10,0.5,5,balanced,True,0.9817084403668795,0.0031326072360089445,0.9893538867624964,4
300,2,1,0.5,5,balanced,True,0.9816286667261824,0.0032862444931511465,0.9910848581271354,5
500,10,10,0.5,20,balanced_subsample,True,0.9815922495408171,0.0033686668080869574,0.9943672678448092,6
300,20,5,0.5,20,balanced_subsample,True,0.9814221100689189,0.003380021092171942,0.9958308074723472,7
100,10,10,0.8,,balanced,True,0.9813232847548556,0.00346768658028038,0.9946341932016585,8
300,20,10,0.8,15,balanced_subsample,True,0.9812746731915448,0.0034443666202752608,0.9947464125904005,9
500,20,10,0.8,8,balanced_subsample,True,0.9812640110227691,0.0035321344035309787,0.9942400131983732,10
500,2,10,0.8,20,balanced,True,0.9812504383878503,0.0033830423277306136,0.9947267355501239,11
100,2,5,0.5,20,balanced,True,0.9811318029509932,0.0032607160674456787,0.9978574848491679,12
500,10,10,0.5,8,balanced_subsample,False,0.9810908251269431,0.003100365609886265,0.9958952511288238,13
300,10,2,0.8,8,balanced,True,0.9810100651075917,0.003311835157533169,0.9976872518414339,14
300,2,10,sqrt,15,balanced,False,0.9806666177777373,0.003312438563633058,0.9958161076283764,15
300,2,2,0.8,8,balanced,True,0.9806520687610603,0.0033905150479351886,0.9987370331033093,16
300,5,1,0.5,10,balanced,True,0.9806345852856895,0.003614612853382786,0.9997446549334004,17
200,10,10,sqrt,8,balanced,False,0.9806313849095651,0.0032865019769971952,0.9933879258421505,18
500,20,10,0.5,10,balanced_subsample,False,0.9805584265773257,0.003103590444169309,0.997060705873482,19
300,20,1,sqrt,15,balanced_subsample,False,0.9805033495969134,0.00330575663662706,0.9993251506147189,20
300,5,5,log2,20,balanced_subsample,False,0.9804560103234794,0.0034219367639631306,0.9991607455496533,21
300,10,5,log2,10,balanced_subsample,False,0.9803977609582516,0.0032733100380739266,0.9973355569826363,22
100,20,10,0.5,10,balanced,False,0.9803791574881812,0.003306708323431406,0.9970634135761831,23
500,20,1,0.8,15,balanced,True,0.98037111153445,0.0035274323838433664,0.9981105488807568,24
300,10,10,sqrt,20,balanced,True,0.9803169169649747,0.0035437099044786976,0.992233600358327,25
500,5,5,log2,,balanced_subsample,True,0.9802292356700694,0.0035529750840195312,0.9956652817981405,26
300,20,1,sqrt,8,balanced_subsample,True,0.9801978576597319,0.0032767837480440873,0.9930482846204786,27
500,2,1,0.5,15,balanced_subsample,True,0.9801631346332502,0.00370729686253701,1.0,28
500,10,5,0.8,5,balanced_subsample,False,0.9800565989461875,0.00309939712870357,0.9908733875372763,29
100,10,2,log2,10,balanced,True,0.9799806428324509,0.0037844564331277306,0.9960207071642853,30
500,5,1,log2,10,balanced_subsample,False,0.9799115073679794,0.003440424530919084,0.9995816054041067,31
200,2,1,0.5,15,balanced_subsample,True,0.9798901690347739,0.003622175367561681,1.0,32
100,5,10,log2,8,balanced,False,0.9798643340430171,0.0037631748526878415,0.9925225934482945,33
500,10,5,log2,8,balanced_subsample,True,0.9798413155465824,0.003640561661803396,0.9924872643636096,34
500,5,2,log2,15,balanced_subsample,True,0.9798214134523462,0.003833372652394549,0.9995777103559866,35
200,2,2,sqrt,15,balanced_subsample,False,0.9797485091033445,0.003782573274910823,1.0,36
100,10,2,log2,,balanced_subsample,True,0.9796399220258554,0.0038634516124160306,0.997815927917709,37
100,20,2,log2,15,balanced,True,0.9795604422938975,0.0035335581322747875,0.9948109056086599,38
200,2,1,sqrt,15,balanced,True,0.9795237218602274,0.003955235032421867,1.0,39
300,10,1,log2,,balanced,False,0.9795131809962514,0.0035254350538159395,0.9999971289106664,40
200,5,2,sqrt,20,balanced,False,0.9794139634615098,0.0037540118570570493,1.0,41
100,10,1,log2,,balanced_subsample,True,0.979353843649671,0.0035356373742028773,0.9987539076933025,42
300,2,10,sqrt,5,balanced_subsample,False,0.9791870052075747,0.0036700772514144104,0.9864516509584297,43
100,5,2,sqrt,5,balanced,False,0.9788303571273287,0.0036138620715519642,0.9872871985457152,44
100,5,5,0.8,8,balanced,False,0.9783388140972719,0.0032525673020852436,0.9977976293712446,45
500,10,5,0.8,15,balanced_subsample,False,0.9774575548165064,0.003584394153532207,0.9996871495974327,46
500,10,1,0.8,,balanced,False,0.9772271525771579,0.002988358747258945,0.9999734051018155,47
300,5,2,0.8,10,balanced_subsample,False,0.9770811919263371,0.0034440421182111236,0.9997780110093529,48
500,2,5,log2,5,balanced,False,0.9769659268402234,0.00447508947716189,0.9850010252906275,49
300,10,1,0.8,15,balanced_subsample,False,0.9769193179975199,0.00337527265663422,0.9999648774730445,50
